City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,petropavlovsk-kamchatsky,53.0452,158.6483,3.58,66,75,6.26,RU,1715328656
82,olovyannaya,50.95,115.5667,8.12,66,100,6.57,RU,1715328657
83,barakani,-12.1356,44.4317,27.54,69,28,5.53,KM,1715328659
84,whitehorse,60.7161,-135.0538,4.89,61,8,1.34,CA,1715328660
85,albany,42.6001,-73.9662,11.23,85,100,1.49,US,1715328661
86,atafu village,-8.5421,-172.5159,29.24,75,98,2.64,TK,1715328663
87,terme,41.2092,36.9739,16.96,69,100,2.03,TR,1715328664
88,gainesville,29.6516,-82.3248,25.05,59,100,3.6,US,1715328665
89,malango,-2.9627,119.9001,26.97,67,28,2.07,ID,1715328667
90,sitka,57.0531,-135.33,7.94,81,100,3.6,US,1715328668
91,pangai,-19.8,-174.35,25.58,57,0,4.43,TO,1715328669
92,guixi,28.2886,117.2133,25.97,79,100,1.93,CN,1715328671
93,lauro de freitas,-12.8944,-38.3272,24.01,88,20,1.03,BR,1715328672
94,irymple,-34.25,142.1667,18.38,56,18,3.84,AU,1715328673
95,kegeyli shahar,42.7767,59.6078,20.05,21,100,4.56,UZ,1715328674
96,nuuk,64.1835,-51.7216,-0.66,93,100,6.71,GL,1715328675
97,kampene,-3.6,26.6667,22.75,95,100,0.29,CD,1715328676
98,birine,35.635,3.225,16.94,45,5,2.48,DZ,1715328678
99,raduzhny,62.0961,77.475,2.85,93,100,6.29,RU,1715328679
100,wailua homesteads,22.0669,-159.378,22.44,86,75,5.14,US,1715328679
101,kasongo-lunda,-6.4667,16.8167,30.08,55,62,0.82,CD,1715328680
102,sao joao da barra,-21.6403,-41.0511,23.2,90,10,2.0,BR,1715328681
103,vorkuta,67.5,64.0,1.17,93,100,7.6,RU,1715328682
104,ilulissat,69.2167,-51.1,-6.99,58,20,2.06,GL,1715328683
105,pandan,14.0453,124.1694,30.01,66,59,3.63,PH,1715328684
106,punta arenas,-53.15,-70.9167,-1.94,93,0,3.6,CL,1715328684
107,cabo san lucas,22.8909,-109.9124,24.73,62,3,6.64,MX,1715328685
108,fair oaks ranch,29.7458,-98.6434,24.3,87,75,2.06,US,1715328686
109,troitsko-pechorsk,62.7084,56.1964,2.05,54,100,5.36,RU,1715328687
110,lazaro cardenas,17.9583,-102.2,22.3,87,91,1.32,MX,1715328687
111,hasaki,35.7333,140.8333,23.22,52,1,8.09,JP,1715328688
112,west island,-12.1568,96.8225,26.99,83,100,7.2,CC,1715328689
113,puerto ayacucho,5.6639,-67.6236,24.46,96,99,0.53,VE,1715328690
114,yellowknife,62.456,-114.3525,5.79,82,40,3.09,CA,1715328691
115,stanley,54.868,-1.6985,14.84,85,0,1.03,GB,1715328692
116,as sulayyil,20.4607,45.5779,33.14,20,84,7.44,SA,1715328693
117,island harbour,50.724,-1.2758,18.5,80,100,2.68,GB,1715328693
118,dapa,9.7594,126.0531,29.45,70,19,4.4,PH,1715328694
119,sidi okba,34.7451,5.8983,22.17,38,0,3.39,DZ,1715328695
120,fale old settlement,-9.3852,-171.2468,29.1,72,94,1.76,TK,1715328698
121,murghob,38.1702,73.9667,11.56,31,94,3.33,TJ,1715328699
122,acarau,-2.8856,-40.12,25.03,91,82,4.45,BR,1715328700
123,tefe,-3.3542,-64.7114,24.27,91,99,0.53,BR,1715328701
124,qulsary,46.9531,54.0198,16.93,34,100,2.55,KZ,1715328702
125,coquimbo,-29.9533,-71.3436,12.32,85,1,1.14,CL,1715328703
126,mulayjah,27.271,48.4242,32.68,12,0,4.13,SA,1715328703
127,teixeira,-7.2228,-37.2542,15.94,94,89,2.64,BR,1715328704
128,nsanje,-16.92,35.262,29.48,43,0,1.22,MW,1715328705
129,san jose del guaviare,2.5729,-72.6459,22.6,99,100,1.27,CO,1715328706
130,dunedin,-45.8742,170.5036,7.67,80,71,2.68,NZ,1715328706
131,popondetta,-8.7537,148.2534,24.19,96,100,0.6,PG,1715328707
132,labrador city,52.9463,-66.9114,-3.79,71,0,1.54,CA,1715328708
133,ake-eze,5.9168,7.6762,29.14,74,98,3.01,NG,1715328709
134,arraial do cabo,-22.9661,-42.0278,23.3,89,29,6.34,BR,1715328710
135,kununurra,-15.7667,128.7333,33.99,36,40,5.14,AU,1715328679
136,st. john's,47.5649,-52.7093,2.76,95,100,3.6,CA,1715328712
137,turpan,42.9333,89.1667,35.54,7,6,1.35,CN,1715328415
138,lebu,-37.6167,-73.65,7.78,83,94,1.64,CL,1715328714
139,freetown,8.484,-13.2299,25.84,89,40,3.09,SL,1715328714
140,khamharia,20.9833,82.2667,39.71,21,0,4.58,IN,1715328715
141,avarua,-21.2078,-159.775,27.03,89,75,4.12,CK,1715328716
142,saphane,39.0273,29.2222,19.01,41,87,3.98,TR,1715328717
143,lata,40.1629,-8.3327,20.04,49,16,0.35,PT,1715328718
144,touros,-5.1989,-35.4608,24.37,92,97,4.18,BR,1715328718
145,luderitz,-26.6481,15.1594,16.4,67,0,6.16,NA,1715328719
146,hermanus,-34.4187,19.2345,19.33,69,64,7.97,ZA,1715328720
147,utrik,11.2278,169.8474,27.18,84,89,8.69,MH,1715328721
148,invercargill,-46.4,168.35,8.34,79,100,1.34,NZ,1715328722
149,xinyuan,37.3,99.0,3.74,82,100,0.69,CN,1715328503
150,ulladulla,-35.35,150.4667,15.87,93,100,5.81,AU,1715328724
151,yorkton,51.2167,-102.4677,9.91,53,75,4.12,CA,1715328725
152,brisas de zicatela,15.8369,-97.0419,25.77,71,90,1.68,MX,1715328727
153,huarmey,-10.0681,-78.1522,19.03,90,28,4.47,PE,1715328732
154,villavicencio,4.142,-73.6266,22.16,98,100,0.87,CO,1715328716
155,kikwit,-5.041,18.8162,29.13,63,98,1.45,CD,1715328737
156,praia da vitoria,38.7333,-27.0667,17.09,94,20,3.35,PT,1715328737
157,lihue,21.9789,-159.3672,22.77,83,75,5.14,US,1715328741
